fiscal_date,end_cash_position,income_tax_paid,interest_paid,free_cash_flow,operating_activities.net_income,operating_activities.depreciation,operating_activities.deferred_taxes,operating_activities.stock_based_compensation,operating_activities.other_non_cash_items,operating_activities.accounts_receivable,operating_activities.accounts_payable,operating_activities.other_assets_liabilities,operating_activities.operating_cash_flow,investing_activities.capital_expenditures,investing_activities.net_intangibles,investing_activities.net_acquisitions,investing_activities.purchase_of_investments,investing_activities.sale_of_investments,investing_activities.other_investing_activity,investing_activities.investing_cash_flow,financing_activities.long_term_debt_issuance,financing_activities.long_term_debt_payments,financing_activities.short_term_debt_issuance,financing_activities.common_stock_issuance,financing_activities.common_stock_repurchase,financing_activities.common_dividends,financing_activities.other_financing_charges,financing_activities.financing_cash_flow,symbol,name,currency,exchange,mic_code,exchange_timezone,period
2020-06-30,13576000000,,,45234000000,44281000000,12796000000,11000000,5289000000,,-2577000000,3018000000,-1924000000,60894000000,-15441000000,,-2521000000,-77190000000,84170000000,-1241000000,-12223000000,0.0,-5518000000,0.0,1343000000,-22968000000,-15137000000,-3751000000,-46031000000,MSFT,Microsoft Corp,USD,NASDAQ,XNGS,America/New_York,Annual
2021-06-30,14224000000,,,56118000000,61271000000,11686000000,-150000000,6118000000,,-6481000000,2798000000,2747000000,77989000000,-20622000000,,-8909000000,-62924000000,65800000000,-922000000,-27577000000,,-3750000000,,1693000000,-27385000000,-16521000000,-2523000000,-48486000000,MSFT,Microsoft Corp,USD,NASDAQ,XNGS,America/New_York,Annual
2022-06-30,13931000000,,,65149000000,72738000000,14460000000,-5702000000,7502000000,,-6834000000,2943000000,4337000000,89444000000,-23886000000,,-22038000000,-26456000000,44894000000,-2825000000,-30311000000,,-9023000000,,1841000000,-32696000000,-18135000000,-863000000,-58876000000,MSFT,Microsoft Corp,USD,NASDAQ,XNGS,America/New_York,Annual
2023-06-30,34704000000,,,59475000000,72361000000,13861000000,-6059000000,9611000000,,-4087000000,-2721000000,4420000000,87386000000,-28107000000,,-1670000000,-37651000000,47864000000,-3116000000,-22680000000,,-2750000000,,1866000000,-22245000000,-19800000000,-1006000000,-43935000000,MSFT,Microsoft Corp,USD,NASDAQ,XNGS,America/New_York,Annual
2020-09-30,39789000000,9501000000,3002000000,73365000000,57411000000,11056000000,-215000000.0,6829000000,-97000000,8470000000,-4062000000,1282000000,80674000000,-7309000000,,-1524000000.0,-114938000000,120391000000,-909000000,-4289000000,16091000000,-12629000000,-963000000,880000000.0,-72358000000,-14081000000,-2880000000,-85940000000,AAPL,Apple Inc,USD,NASDAQ,XNGS,America/New_York,Annual
2021-09-30,35929000000,25385000000,2687000000,92953000000,94680000000,11284000000,-4774000000.0,7906000000,-4921000000,-14028000000,12326000000,-1533000000,100940000000,-11085000000,,-33000000.0,-109558000000,106483000000,-385000000,-14578000000,20393000000,-8750000000,1022000000,1105000000.0,-85971000000,-14467000000,-5580000000,-92248000000,AAPL,Apple Inc,USD,NASDAQ,XNGS,America/New_York,Annual
2022-09-30,24977000000,19573000000,2865000000,111443000000,99803000000,11104000000,895000000.0,9038000000,1006000000,-9343000000,9448000000,1573000000,123524000000,-10708000000,,-306000000.0,-76923000000,67363000000,-2086000000,-22660000000,5465000000,-9543000000,3955000000,,-89402000000,-14841000000,-6383000000,-110749000000,AAPL,Apple Inc,USD,NASDAQ,XNGS,America/New_York,Annual
2023-09-30,30737000000,18679000000,3803000000,99584000000,96995000000,11519000000,,10833000000,-2227000000,-417000000,-1889000000,-4271000000,110543000000,-10959000000,,,-29513000000,45514000000,-1337000000,3705000000,5228000000,-11151000000,-3978000000,,-77550000000,-15025000000,-6012000000,-108488000000,AAPL,Apple Inc,USD,NASDAQ,XNGS,America/New_York,Annual
2021-01-31,847000000,249000000,138000000,4694000000,4332000000,1098000000,-282000000,1397000000,-20000000,-550000000,312000000,-198000000,6089000000,-1128000000,,-8524000000,-19342000000,9319000000,,-19675000000,4968000000,0,,,0,-395000000,-963000000,3610000000,NVDA,NVIDIA Corp,USD,NASDAQ,XNGS,America/New_York,Annual
2022-01-31,1990000000,396000000,246000000,8132000000,9752000000,1174000000,-406000000,2004000000,47000000,-2215000000,568000000,-582000000,10342000000,-976000000,,-263000000,-24811000000,16220000000,,-9830000000,4977000000,-1000000000,,,0,-399000000,-1994000000,1584000000,NVDA,NVIDIA Corp,USD,NASDAQ,XNGS,America/New_York,Annual
2023-01-31,3389000000,1404000000,254000000,3808000000,4368000000,1544000000,-2164000000,2709000000,1346000000,822000000,-551000000,-2302000000,5772000000,-1833000000,,-49000000,-11974000000,21231000000,,7375000000,0,0,,,-10039000000,-398000000,-1535000000,-11972000000,NVDA,NVIDIA Corp,USD,NASDAQ,XNGS,America/New_York,Annual
2024-01-31,7280000000,6549000000,252000000,27021000000,29760000000,1508000000,-2489000000,3549000000,-278000000,-6172000000,1531000000,416000000,27825000000,-1069000000,,-83000000,-19196000000,9782000000,,-10566000000,0,-1250000000,,,-9533000000,-395000000,-2858000000,-14036000000,NVDA,NVIDIA Corp,USD,NASDAQ,XNGS,America/New_York,Annual
2020-12-31,42377000000,1713000000,1630000000,25924000000,21331000000,25251000000,-554000000,9208000000,-2653000000,-8169000000,17480000000,-1584000000,60310000000,-35044000000,,-2325000000,-72479000000,50237000000,,-59611000000,10525000000,-18425000000,619000000,,0,,,-7281000000,AMZN,Amazon.com Inc,USD,NASDAQ,XNGS,America/New_York,Annual
2021-12-31,36477000000,3688000000,1772000000,-14726000000,33364000000,34433000000,-310000000,12757000000,-14306000000,-9145000000,3602000000,-16191000000,44204000000,-55396000000,,-1985000000,-60157000000,59384000000,,-58154000000,19003000000,-20506000000,203000000,,0,,-162000000.0,-1462000000,AMZN,Amazon.com Inc,USD,NASDAQ,XNGS,America/New_York,Annual
2022-12-31,54253000000,6035000000,2142000000,-16893000000,-2722000000,41921000000,-8148000000,19621000000,16966000000,-8622000000,2945000000,-13651000000,48310000000,-58321000000,,-8316000000,-2565000000,31601000000,,-37601000000,21166000000,-46753000000,3999000000,,-6000000000,,-248000000.0,-27836000000,AMZN,Amazon.com Inc,USD,NASDAQ,XNGS,America/New_York,Annual
2023-12-31,73890000000,11179000000,3112000000,32217000000,30425000000,48663000000,-5876000000,24023000000,-748000000,-8348000000,5473000000,-6238000000,87374000000,-48133000000,,-5839000000,-1488000000,5627000000,,-49833000000,0,-33737000000,-7548000000,,0,,-271000000.0,-41556000000,AMZN,Amazon.com Inc,USD,NASDAQ,XNGS,America/New_York,Annual
2020-12-31,26465000000,4990000000,,42843000000,40269000000,13697000000,1390000000,12991000000,1267000000,-6524000000,694000000,514000000,64298000000,-22281000000,,-738000000,-143751000000,133929000000,68000000,-32773000000,11761000000,-2100000000,,,-31149000000,,2800000000,-18688000000,GOOGL,Alphabet Inc,USD,NASDAQ,XNGS,America/New_York,Annual
2021-12-31,20945000000,13412000000,,67012000000,76033000000,12441000000,1808000000,15376000000,-213000000,-9095000000,283000000,-1697000000,94936000000,-24640000000,,-2618000000,-138034000000,129228000000,541000000,-35523000000,20199000000,-21435000000,,,-50274000000,,310000000,-51200000000,GOOGL,Alphabet Inc,USD,NASDAQ,XNGS,America/New_York,Annual
2022-12-31,21879000000,18892000000,,60010000000,59972000000,13475000000,-8081000000,19362000000,3483000000,-2317000000,707000000,-4095000000,82506000000,-31485000000,,-6969000000,-81405000000,97972000000,1589000000,-20298000000,52872000000,-54068000000,,,-59296000000,,35000000,-60457000000,GOOGL,Alphabet Inc,USD,NASDAQ,XNGS,America/New_York,Annual
2023-12-31,24048000000,19164000000,,69495000000,73795000000,11946000000,-7763000000,22460000000,4330000000,-7833000000,664000000,-1095000000,96504000000,-32251000000,,-495000000,-80885000000,87619000000,-1051000000,-27063000000,10790000000,-11550000000,,,-61504000000,,8000000,-62256000000,GOOGL,Alphabet Inc,USD,NASDAQ,XNGS,America/New_York,Annual
2020-12-31,17954000000,4229000000,,23584000000,29146000000,6862000000,-1192000000,6536000000,85000000,-1512000000,-17000000,-453000000,39455000000,-15115000000,,-388000000,-40291000000,25771000000,-36000000,-30059000000,0,-604000000,24000000.0,,-6272000000,,-3416000000,-10268000000,META,"Meta Platforms, Inc.",USD,NASDAQ,XNGS,America/New_York,Annual
2021-12-31,16865000000,8525000000,0.0,38993000000,39370000000,7967000000,609000000,9164000000,-127000000,-3110000000,1436000000,779000000,56088000000,-18567000000,,-851000000,-30407000000,42586000000,-331000000,-7570000000,0,-677000000,14000000.0,,-44537000000,,-5514000000,-50714000000,META,"Meta Platforms, Inc.",USD,NASDAQ,XNGS,America/New_York,Annual
2022-12-31,15596000000,6407000000,0.0,19044000000,23200000000,8686000000,-3286000000,11992000000,1982000000,231000000,210000000,780000000,43795000000,-31186000000,,-1312000000,-9626000000,13158000000,-4000000,-28970000000,9921000000,-850000000,,,-27956000000,,-3251000000,-22136000000,META,"Meta Platforms, Inc.",USD,NASDAQ,XNGS,America/New_York,Annual
2023-12-31,42827000000,6607000000,448000000.0,43847000000,39098000000,11178000000,131000000,14027000000,411000000,-2399000000,51000000,544000000,63041000000,-27045000000,,-629000000,-2982000000,6184000000,-23000000,-24495000000,8455000000,-1058000000,,,-19774000000,,-7123000000,-19500000000,META,"Meta Platforms, Inc.",USD,NASDAQ,XNGS,America/New_York,Annual
2020-12-31,48396000000,,,26761000000,43253000000,,,,11263000000,-1609000000,,11112000000,64019000000,-13012000000,,-2532000000,-238590000000,220338000000,-3961000000,-37757000000,14370000000,-6461000000,-1118000000,,-24706000000,,-429000000,-18344000000,BRK.B,Berkshire Hathaway Inc,USD,NYSE,XNYS,America/New_York,Annual
2021-12-31,88706000000,,,26151000000,90949000000,,,,-3382000000,-5864000000,,18082000000,99785000000,-13276000000,,-456000000,-161085000000,203439000000,770000000,29392000000,6920000000,-7048000000,-624000000,,-27061000000,,-695000000,-28508000000,BRK.B,Berkshire Hathaway Inc,USD,NYSE,XNYS,America/New_York,Annual
2022-12-31,36399000000,,,21886000000,-21998000000,,,,-4206000000,-5621000000,,-15265000000,-47090000000,-15464000000,,-10594000000,-251852000000,190070000000,239000000,-87601000000,12695000000,-3928000000,-596000000,,-7854000000,,-1979000000,-1662000000,BRK.B,Berkshire Hathaway Inc,USD,NYSE,XNYS,America/New_York,Annual
2023-12-31,38643000000,,,29787000000,97147000000,,,,-6023000000,-1949000000,,17908000000,107083000000,-19409000000,,-8604000000,-251469000000,246134000000,685000000,-32663000000,7817000000,-11311000000,2407000000,,-9171000000,,-4147000000,-14405000000,BRK.B,Berkshire Hathaway Inc,USD,NYSE,XNYS,America/New_York,Annual
2020-12-31,3657100000,,,4470500000,6193700000,1323900000,-134500000,308100000,994300000,-1350200000,1271300000,-990500000,7616100000,-1387900000,-641200000,-849300000,-370100000,886800000,102800000,-1617700000,2062300000,-276500000,-1494200000,,-500000000,-2687100000,-241600000,-3137100000,LLY,Eli Lilly & Co,USD,NYSE,XNYS,America/New_York,Annual
2021-12-31,3818500000,,,5387500000,5581700000,1547600000,-802300000,342800000,1697500000,-1278300000,-1013800000,1279500000,7354700000,-1309800000,-452600000,-747400000,-1013400000,847400000,-191700000,-2414900000,2410800000,-1905400000,-4000000,,-1250000000,-3086800000,-295900000,-4131300000,LLY,Eli Lilly & Co,USD,NYSE,XNYS,America/New_York,Annual
2022-12-31,2067000000,,,4600400000,6244800000,1522500000,-2185200000,371100000,1369800000,-299600000,1692000000,-1393200000,7322200000,-1854300000,-1035200000,-327200000,-707600000,463600000,-302200000,-2727700000,0,-1560000000,1498000000,,-1500000000,-3535800000,-308900000,-5406700000,LLY,Eli Lilly & Co,USD,NYSE,XNYS,America/New_York,Annual
2023-12-31,2818600000,,,-3152000000,5240400000,1527300000,-2341000000,628500000,4095300000,-2451000000,4274400000,-4878400000,6095500000,-3447600000,-2340200000,-1044300000,-829000000,700300000,-191900000,-4812500000,3958500000,0,4691400000,,-750000000,-4069300000,-335000000,3495600000,LLY,Eli Lilly & Co,USD,NYSE,XNYS,America/New_York,Annual
2020-12-31,660170600000,,,305885100000,584746300000,331724600000,,6600000,-6923400000,-7771100000,404600000,-46059100000,856128500000,-506632000000,-9542400000,,-267249100000,267298200000,-2918700000,-509501600000,238725700000,-73487300000,-31586300000,,0,-259303800000,-253900000,-125905600000,TSM,Taiwan Semiconductor Manufacturing Co Ltd,TWD,NYSE,XNYS,America/New_York,Annual
2021-12-31,1064990200000,,,263924300000,663036000000,422394900000,,7800000,-708800000,-52274000000,8298300000,89058900000,1129813100000,-838805300000,-9040700000,,-259688400000,264364700000,-1685700000,-835814700000,366102800000,-4585300000,35668400000,,0,-265786400000,9042600000,140442100000,TSM,Taiwan Semiconductor Manufacturing Co Ltd,TWD,NYSE,XNYS,America/New_York,Annual
2022-12-31,1342814100000,,,520972800000,1144072200000,437254300000,,302400000,-10533400000,-33046100000,7594100000,88542900000,1634186400000,-1081688800000,-6941700000,,-237818100000,108980400000,5439700000,-1205086800000,200963600000,-118955000000,-111960000000,,-871600000,-285234200000,16071800000,-299985400000,TSM,Taiwan Semiconductor Manufacturing Co Ltd,TWD,NYSE,XNYS,America/New_York,Annual
2020-10-31,7618000000,501000000,1408000000,11598000000,2960000000,6905000000,-1142000000,1976000000,100000000,981000000,-3000000,115000000,11892000000,-463000000,,-10654000000,0,0,8000000,-11109000000,27802000000,-20099000000,,276000000,-765000000,-5534000000,-69000000,1611000000,AVGO,Broadcom Inc,USD,NASDAQ,XNGS,America/New_York,Annual
2021-10-31,12163000000,775000000,1565000000,13321000000,6736000000,6041000000,-809000000,1704000000,21000000,210000000,243000000,-580000000,13566000000,-443000000,,37000000,0,169000000,-8000000,-245000000,9904000000,-11495000000,,170000000,-1299000000,-6212000000,-42000000,-8974000000,AVGO,Broadcom Inc,USD,NASDAQ,XNGS,America/New_York,Annual
2022-10-31,12416000000,908000000,1386000000,16312000000,11495000000,4984000000,-34000000,1533000000,312000000,-870000000,-79000000,-705000000,16636000000,-424000000,,-246000000,-200000000,200000000,3000000,-667000000,1935000000,-2361000000,,114000000,-8455000000,-7032000000,-17000000,-15816000000,AVGO,Broadcom Inc,USD,NASDAQ,XNGS,America/New_York,Annual
2023-10-31,14189000000,1782000000,1503000000,17633000000,14082000000,3835000000,-501000000,2171000000,141000000,-187000000,209000000,-1665000000,18085000000,-452000000,,-53000000,-346000000,228000000,-66000000,-689000000,0,-403000000,,122000000,-7685000000,-7645000000,-12000000,-15623000000,AVGO,Broadcom Inc,USD,NASDAQ,XNGS,America/New_York,Annual
2020-12-31,19901000000,115000000,444000000,2701000000,862000000,2322000000,,1734000000,525000000,-652000000,,-1015000000,3776000000,-3232000000,-10000000,-13000000,0,,123000000.0,-3122000000,9713000000,-12201000000,,12269000000.0,,,-225000000,9556000000,TSLA,Tesla Inc,USD,NASDAQ,XNGS,America/New_York,Annual
2021-12-31,18144000000,561000000,266000000,3483000000,5644000000,2911000000,-149000000.0,2121000000,245000000,-130000000,5367000000.0,-2554000000,13455000000,-6514000000,-1228000000,0,-132000000,0.0,6000000.0,-6640000000,8883000000,-14615000000,,0.0,,,-178000000,-5910000000,TSLA,Tesla Inc,USD,NASDAQ,XNGS,America/New_York,Annual
2022-12-31,16924000000,1203000000,152000000,7552000000,12587000000,3747000000,-196000000.0,1560000000,340000000,-1124000000,8029000000.0,-5000000000,19943000000,-7163000000,927000000,0,-5835000000,22000000.0,76000000.0,-12900000000,0,-3866000000,,0.0,,,-202000000,-4068000000,TSLA,Tesla Inc,USD,NASDAQ,XNGS,America/New_York,Annual
2023-12-31,17189000000,1119000000,126000000,4357000000,14974000000,4667000000,-6349000000.0,1812000000,81000000,-586000000,2605000000.0,-1615000000,15589000000,-8899000000,0,-64000000,-19112000000,12491000000.0,,-15584000000,3931000000,-1815000000,,,,,-227000000,1889000000,TSLA,Tesla Inc,USD,NASDAQ,XNGS,America/New_York,Annual
2020-09-30,19171000000,2671000000,537000000,9704000000,10866000000,767000000,307000000,416000000,6583000000,1815000000,21000000,-8483000000,12292000000,-736000000,,-77000000,-2342000000,4510000000,72000000,1427000000,7212000000,0,,,-8114000000,-2664000000,-432000000.0,-3998000000,V,Visa Inc,USD,NYSE,XNYS,America/New_York,Annual
2021-09-30,19799000000,3012000000,643000000,14522000000,12311000000,804000000,873000000,542000000,8111000000,-811000000,88000000,-7657000000,14261000000,-705000000,,-75000000,-5182000000,5701000000,109000000,-152000000,0,-3000000000,,,-8676000000,-2798000000,,-14474000000,V,Visa Inc,USD,NYSE,XNYS,America/New_York,Annual
2022-09-30,20377000000,3741000000,607000000,17879000000,14957000000,861000000,-336000000,602000000,10158000000,-494000000,67000000,-10017000000,15798000000,-970000000,,-1948000000,-6083000000,4585000000,128000000,-4288000000,3218000000,-1000000000,,,-11589000000,-3203000000,-198000000.0,-12772000000,V,Visa Inc,USD,NYSE,XNYS,America/New_York,Annual
2023-09-30,21990000000,3433000000,617000000,19696000000,17273000000,943000000,-483000000,765000000,12175000000,-410000000,34000000,-11038000000,19259000000,-1059000000,,0,-4484000000,3562000000,-25000000,-2006000000,0,-2250000000,,,-12101000000,-3751000000,200000000.0,-17902000000,V,Visa Inc,USD,NYSE,XNYS,America/New_York,Annual
2020-12-31,12226000000,,,29870000000,42138000000,5753000000,10992000000,823000000,3375000000,-3241000000,-641000000,-1350000000,57849000000,-5818000000,-16256000000,-392000000,0,12000000,,-6198000000,5682000000,-950000000,,,-16855000000,-20121000000,,-32244000000,NVO,Novo Nordisk A/S ,DKK,NYSE,XNYS,America/New_York,Annual
2021-12-31,10719000000,,,47615000000,47757000000,6025000000,11323000000,1040000000,-3889000000,-13785000000,3153000000,1584000000,53208000000,-6335000000,-1050000000,-18283000000,-7113000000,1172000000,,-30559000000,22160000000,-6689000000,,,-19447000000,-21517000000,,-25493000000,NVO,Novo Nordisk A/S ,DKK,NYSE,XNYS,America/New_York,Annual
2022-12-31,12653000000,,,64134000000,55525000000,7362000000,13537000000,1539000000,1378000000,-10885000000,6717000000,399000000,75572000000,-12146000000,-2607000000,-7075000000,-9735000000,6645000000,,-22311000000,11215000000,-13623000000,,,-24086000000,-25303000000,,-51797000000,NVO,Novo Nordisk A/S ,DKK,NYSE,XNYS,America/New_York,Annual
2023-12-31,14392000000,,,70012000000,83683000000,9413000000,20991000000,2149000000,-2035000000,-16273000000,10019000000,-3559000000,104388000000,-25806000000,-13090000000,0,-13289000000,8293000000,,-30802000000,0,-1467000000,,,-29924000000,-31767000000,,-63158000000,NVO,Novo Nordisk A/S ,DKK,NYSE,XNYS,America/New_York,Annual
2020-12-31,527609000000,8140000000,13077000000,-79910000000,29131000000,8614000000,-3573000000,,13750000000,-18012000000,7415000000,-134715000000,-97390000000,,,,-409545000000,228793000000,-7341000000,-188093000000,78686000000,-105055000000,4438000000,4500000000,-7947000000,-12690000000,420000000,-37648000000,JPM,JPMorgan Chase & Co,USD,NYSE,XNYS,America/New_York,Annual
2021-12-31,740834000000,18737000000,5142000000,78084000000,48334000000,7932000000,3748000000,,-8575000000,-12401000000,43162000000,5140000000,87340000000,,,0.0,-360541000000,263720000000,-11044000000,-107865000000,82409000000,-54932000000,7773000000,7350000000,-20983000000,-12858000000,-5731000000,3028000000,JPM,JPMorgan Chase & Co,USD,NYSE,XNYS,America/New_York,Annual
2022-12-31,567234000000,4355000000,23143000000,107119000000,37676000000,7051000000,-2738000000,,26055000000,-22970000000,58614000000,-2958000000,100730000000,,,0.0,-159934000000,172401000000,-11932000000,535000000,78442000000,-45556000000,-8984000000,0,-10596000000,-13562000000,2439000000,2183000000,JPM,JPMorgan Chase & Co,USD,NYSE,XNYS,America/New_York,Annual
2023-12-31,624151000000,9908000000,77114000000,12974000000,49552000000,7512000000,-4534000000,,10067000000,19928000000,-25388000000,-50708000000,6429000000,,,-9920000000.0,-119640000000,215234000000,-16740000000,68934000000,75417000000,-64880000000,-1934000000,0,-9824000000,-13463000000,7508000000,-7176000000,JPM,JPMorgan Chase & Co,USD,NYSE,XNYS,America/New_York,Annual
2021-01-31,17788000000,5271000000,2216000000,25810000000,13706000000,11152000000,1911000000,,-7068000000,-1086000000,6966000000,-2395000000,23186000000,-10049000000,,-124000000,,,102000000,-10071000000,0,-5382000000,-324000000,,-2625000000,-6116000000,-1670000000,-16117000000,WMT,Walmart Inc,USD,NYSE,XNYS,America/New_York,Annual
2022-01-31,14834000000,5918000000,2237000000,11075000000,13940000000,10658000000,-755000000,,4092000000,-1796000000,5520000000,-11764000000,19895000000,-12712000000,,7576000000,,,-879000000,-6015000000,6945000000,-13010000000,193000000,,-9787000000,-6152000000,-1017000000,-22828000000,WMT,Walmart Inc,USD,NYSE,XNYS,America/New_York,Annual
2023-01-31,8841000000,3310000000,2051000000,11984000000,11292000000,10945000000,449000000,,3602000000,240000000,-1425000000,-528000000,24575000000,-16687000000,,-740000000,,,-295000000,-17722000000,5041000000,-2689000000,-34000000,,-9920000000,-6114000000,-3323000000,-17039000000,WMT,Walmart Inc,USD,NYSE,XNYS,America/New_York,Annual
2020-12-31,16921000000,4935000000,1704000000,20123000000,15769000000,2891000000,-8000000,679000000,-52000000,-688000000,5348000000,-1917000000,22022000000,-2051000000,,-7139000000,-16577000000,13741000000,-506000000,-12532000000,4864000000,-3150000000,872000000,1440000000,-4250000000,-4584000000,1218000000,-3590000000,UNH,UnitedHealth Group Inc,USD,NYSE,XNYS,America/New_York,Annual
2021-12-31,21375000000,3966000000,1653000000,19889000000,17732000000,3103000000,130000000,800000000,-944000000,-1000000000,1162000000,-2372000000,18611000000,-2454000000,,-4821000000,-17139000000,15296000000,-1254000000,-10372000000,6933000000,-3150000000,-1302000000,1355000000,-5000000000,-5280000000,-1011000000,-7455000000,UNH,UnitedHealth Group Inc,USD,NYSE,XNYS,America/New_York,Annual
2022-12-31,23365000000,5222000000,1945000000,23404000000,20639000000,3400000000,-673000000,925000000,-331000000,-2523000000,1964000000,-2622000000,20779000000,-2802000000,,-21458000000,-18825000000,11988000000,2621000000,-28476000000,14819000000,-3015000000,732000000,1253000000,-7000000000,-5991000000,3428000000,4226000000,UNH,UnitedHealth Group Inc,USD,NYSE,XNYS,America/New_York,Annual
